Task name,List,Description content,Status,Priority,Time Estimate,Tags,Subtasks,Due date,Start date,Task Type
"[S1-001] Move JWT tokens from localStorage to httpOnly cookies",Sprint 1 - Security Hardening,"CRITICAL SECURITY FIX: Migrate authentication tokens from localStorage (XSS vulnerable) to httpOnly secure cookies. This prevents JavaScript access to tokens, eliminating XSS token theft attacks. CVSS 8.1 vulnerability.",To Do,Urgent,8h,"security,authentication,P0,refactor","Create cookie utility functions,Update auth service token storage,Update login handler to set cookies,Update logout to clear cookies,Update middleware to read from cookies,Update frontend to remove localStorage usage,Add SameSite and Secure flags,Test cross-origin scenarios",2026-01-17,2026-01-13,Task
"[S1-002] Implement CSRF protection middleware",Sprint 1 - Security Hardening,"Add Cross-Site Request Forgery protection using double-submit cookie pattern or synchronizer tokens. All state-changing requests (POST/PUT/DELETE) must validate CSRF tokens.",To Do,Urgent,6h,"security,middleware,P0","Generate CSRF token on login,Add CSRF middleware to router,Create token validation logic,Update frontend to include CSRF header,Add CSRF token refresh mechanism,Test CSRF protection scenarios",2026-01-17,2026-01-13,Task
"[S1-003] Add Content Security Policy headers",Sprint 1 - Security Hardening,"Implement strict CSP headers to prevent XSS, clickjacking, and code injection attacks. Configure script-src, style-src, img-src, connect-src directives.",To Do,High,4h,"security,headers,P0","Define CSP policy rules,Add CSP middleware,Configure nonce for inline scripts,Update Next.js config for CSP,Test CSP violations reporting",2026-01-17,2026-01-13,Task
"[S1-004] Implement rate limiting for authentication endpoints",Sprint 1 - Security Hardening,"Add rate limiting to prevent brute force attacks on login, password reset, and registration endpoints. Use sliding window algorithm with IP-based tracking.",To Do,High,6h,"security,authentication,rate-limiting","Create rate limiter middleware,Configure limits per endpoint,Add IP extraction logic,Implement sliding window counter,Add rate limit headers to response,Create bypass for trusted IPs",2026-01-17,2026-01-13,Task
"[S1-005] Add input sanitization middleware",Sprint 1 - Security Hardening,"Sanitize all user inputs to prevent SQL injection, XSS, and command injection. Implement recursive sanitization for nested objects.",To Do,High,6h,"security,validation,middleware","Create sanitization utility,Add HTML entity encoding,Implement SQL injection patterns detection,Add middleware to sanitize request body,Sanitize query parameters,Test with OWASP payloads",2026-01-17,2026-01-13,Task
"[S1-006] Enforce strong JWT secret configuration",Sprint 1 - Security Hardening,"Validate JWT secret meets minimum requirements (256 bits), prevent weak secrets in production. Add secret rotation capability.",To Do,Medium,3h,"security,authentication,configuration","Add secret strength validator,Check secret length on startup,Add rotation mechanism,Update config validation,Log warning for weak secrets",2026-01-17,2026-01-13,Task
"[S1-007] Add security headers middleware",Sprint 1 - Security Hardening,"Implement comprehensive security headers: X-Content-Type-Options, X-Frame-Options, X-XSS-Protection, Strict-Transport-Security, Referrer-Policy.",To Do,Medium,3h,"security,headers,middleware","Create security headers middleware,Add X-Content-Type-Options nosniff,Add X-Frame-Options DENY,Add HSTS header,Add Referrer-Policy,Test headers in responses",2026-01-17,2026-01-13,Task
"[S1-008] Implement password strength validation",Sprint 1 - Security Hardening,"Enforce strong password policy: minimum 12 characters, uppercase, lowercase, number, special character. Add password breach checking via HaveIBeenPwned API.",To Do,Medium,4h,"security,authentication,validation","Create password validator,Add complexity rules,Integrate HIBP API check,Update registration endpoint,Update password change endpoint,Add client-side validation",2026-01-17,2026-01-13,Task
"[S2-001] Refactor IncidencesPage component (1453 lines)",Sprint 2 - Code Refactoring,"Break down the massive 1453-line IncidencesPage into smaller, maintainable components following single responsibility principle.",To Do,High,16h,"refactor,frontend,components","Extract IncidenceFilters component,Extract IncidenceTable component,Extract IncidenceForm component,Extract IncidenceActions component,Extract EvidenceUpload component,Create custom hooks for logic,Add TypeScript interfaces,Update imports and exports",2026-01-24,2026-01-20,Task
"[S2-002] Extract reusable form components",Sprint 2 - Code Refactoring,"Create a form component library with reusable inputs, selects, date pickers following atomic design principles.",To Do,High,12h,"refactor,frontend,components","Create FormInput component,Create FormSelect component,Create FormDatePicker component,Create FormTextarea component,Create FormCheckbox component,Add validation integration,Add accessibility attributes,Document component usage",2026-01-24,2026-01-20,Task
"[S2-003] Implement custom error types in Go backend",Sprint 2 - Code Refactoring,"Replace string error comparisons with typed errors implementing error interface. Create error hierarchy for different error categories.",To Do,High,8h,"refactor,backend,errors","Create AppError struct,Create error categories enum,Implement Error interface,Create error constructors,Update services to use typed errors,Update handlers for error responses,Add error codes mapping",2026-01-24,2026-01-20,Task
"[S2-004] Create API response standardization",Sprint 2 - Code Refactoring,"Standardize all API responses with consistent structure: success, data, error, meta fields. Create response helper functions.",To Do,Medium,6h,"refactor,backend,api","Create Response struct,Create success helper,Create error helper,Create paginated response helper,Update all handlers,Add response middleware,Document response format",2026-01-24,2026-01-20,Task
"[S2-005] Implement repository pattern consistently",Sprint 2 - Code Refactoring,"Ensure all data access goes through repository layer. Remove direct DB access from services.",To Do,Medium,8h,"refactor,backend,architecture","Audit direct DB calls,Create missing repositories,Define repository interfaces,Update services to use repos,Add transaction support,Test repository isolation",2026-01-24,2026-01-20,Task
"[S2-006] Extract business logic from handlers",Sprint 2 - Code Refactoring,"Move all business logic from handlers to services. Handlers should only handle HTTP concerns.",To Do,Medium,10h,"refactor,backend,architecture","Audit handler business logic,Move validation to services,Move calculations to services,Update handler calls,Ensure proper error propagation,Test service isolation",2026-01-24,2026-01-20,Task
"[S2-007] Create frontend API client abstraction",Sprint 2 - Code Refactoring,"Build centralized API client with interceptors, error handling, retry logic, and automatic token refresh.",To Do,Medium,8h,"refactor,frontend,api","Create ApiClient class,Add request interceptors,Add response interceptors,Implement retry logic,Add token refresh handling,Create typed API methods,Add request cancellation",2026-01-24,2026-01-20,Task
"[S2-008] Implement proper logging strategy",Sprint 2 - Code Refactoring,"Standardize logging across backend with structured logs, log levels, and correlation IDs for request tracing.",To Do,Medium,6h,"refactor,backend,logging","Create logger wrapper,Add structured log fields,Implement correlation IDs,Add request logging middleware,Configure log levels,Add log rotation config",2026-01-24,2026-01-20,Task
"[S3-001] Setup testing infrastructure - Backend",Sprint 3 - Testing Foundation,"Configure Go testing with testify, create test database, setup mocks, add coverage reporting.",To Do,High,8h,"testing,backend,infrastructure","Install testify package,Create test database config,Setup mock generation,Configure coverage reporting,Create test utilities,Add CI test pipeline",2026-01-31,2026-01-27,Task
